epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,963.036,1.88572,1.68249,1.34983,0.20315,0.27018,0.21643,0.08114,2.56898,2.13784,1.88466,0.000359409,0.000359409,0.000359409
43,987.527,1.90388,1.61824,1.30512,0.35501,0.15517,0.18722,0.07343,2.60817,2.16315,1.90274,0.000341077,0.000341077,0.000341077
44,1010.97,1.80299,1.5424,1.27556,0.19065,0.27736,0.19461,0.0693,2.66306,2.24293,1.89952,0.000322745,0.000322745,0.000322745
45,1035.16,1.86409,1.56777,1.28203,0.19121,0.27759,0.15746,0.06416,2.57882,2.20585,1.84759,0.000304414,0.000304414,0.000304414
46,1057.88,1.82541,1.64282,1.30012,0.28002,0.2569,0.2098,0.08277,2.56293,2.28532,1.8202,0.000286083,0.000286083,0.000286083
47,1077.65,1.81289,1.53401,1.28395,0.34691,0.32254,0.29803,0.1059,2.52417,2.20436,1.83228,0.000267751,0.000267751,0.000267751
48,1097.89,1.75693,1.49632,1.2624,0.33246,0.29291,0.29948,0.12446,2.58822,2.16962,1.8742,0.00024942,0.00024942,0.00024942
49,1118.79,1.80548,1.53174,1.2919,0.19431,0.32126,0.19538,0.08189,2.60266,2.27757,1.90677,0.000231088,0.000231088,0.000231088
50,1139.55,1.79243,1.50515,1.26738,0.15965,0.29483,0.17068,0.07363,2.63407,2.2435,1.90949,0.000212757,0.000212757,0.000212757
51,1166.98,1.83024,1.65744,1.31942,0.16484,0.15517,0.16126,0.0635,2.68565,2.24126,1.91437,0.000194425,0.000194425,0.000194425
52,1189.49,1.77484,1.56509,1.31159,0.36256,0.16207,0.14303,0.06253,2.64846,2.24888,1.91012,0.000176094,0.000176094,0.000176094
53,1213.2,1.7199,1.51363,1.287,0.29839,0.26379,0.23885,0.09555,2.66759,2.24896,1.96588,0.000157762,0.000157762,0.000157762
54,1235.8,1.67577,1.44794,1.25997,0.31537,0.27517,0.24548,0.09591,2.67489,2.18524,1.95996,0.000139431,0.000139431,0.000139431
55,1255.1,1.66428,1.41624,1.2562,0.26994,0.26724,0.23176,0.08706,2.6772,2.26275,1.95631,0.000121099,0.000121099,0.000121099
56,1273.41,1.63718,1.39697,1.25129,0.25924,0.27759,0.23716,0.0893,2.62109,2.25025,1.9239,0.000102768,0.000102768,0.000102768
57,1295.05,1.64142,1.45019,1.26187,0.23199,0.28276,0.23268,0.09739,2.62252,2.24922,1.9414,8.4436e-05,8.4436e-05,8.4436e-05
58,1318.45,1.61908,1.40649,1.24072,0.23998,0.28103,0.23001,0.08677,2.65306,2.21721,1.93933,6.61045e-05,6.61045e-05,6.61045e-05
59,1340.7,1.64988,1.40102,1.24948,0.21851,0.28448,0.23562,0.09645,2.67105,2.2268,1.95396,4.7773e-05,4.7773e-05,4.7773e-05
60,1363.36,1.59767,1.36009,1.2343,0.2116,0.28103,0.17157,0.06065,2.68211,2.23907,1.96365,2.94415e-05,2.94415e-05,2.94415e-05
